Store_name,Category,Latitude,Longitude,City
Bharathi Medical Stores,pharmacy,12.9165996,77.5970356,Bengaluru
Ram Medicals,pharmacy,12.8978632,77.6215573,Bengaluru
Apollo Pharmacy,pharmacy,12.8919655,77.5817555,Bengaluru
Vinayaka Medical & General Stores,pharmacy,12.8831984,77.5830283,Bengaluru
MedPlus,pharmacy,12.9573395,77.5278877,Bengaluru
Karnataka Medicals and general stores,pharmacy,12.9049515,77.5676264,Bengaluru
Apollo Pharmacy,pharmacy,12.9664142,77.5925401,Bengaluru
Manjula Medicals,pharmacy,12.9668083,77.592647,Bengaluru
Trust,pharmacy,12.8896659,77.5974787,Bengaluru
Bankapura Medicals,pharmacy,12.8943653,77.5815509,Bengaluru
Apollo Pharmacy,pharmacy,12.8966309,77.5862714,Bengaluru
White Lotus,pharmacy,12.9009271,77.5859552,Bengaluru
Samrudh Pharma,pharmacy,12.9072675,77.5600601,Bengaluru
,pharmacy,12.95682,77.653741,Bengaluru
Kamaldeep Medicals,pharmacy,12.9784519,77.6754752,Bengaluru
Himalaya,pharmacy,12.9781816,77.6426659,Bengaluru
Sagar Ayur Pharma,pharmacy,12.9820581,77.6396986,Bengaluru
Healing Touch Pharma,pharmacy,12.9742234,77.6359937,Bengaluru
,pharmacy,13.0372513,77.5290538,Bengaluru
Apollo Pharmacy,pharmacy,12.9976064,77.5512613,Bengaluru
SLN medical and general stores,pharmacy,13.0161215,77.5438434,Bengaluru
Apollo Pharmacy,pharmacy,13.0087585,77.5432729,Bengaluru
Apollo Pharmacy,pharmacy,12.9105063,77.5819403,Bengaluru
Life Care Medicals,pharmacy,12.9108052,77.5786692,Bengaluru
Shree Sai Ram Drug House,pharmacy,12.9104137,77.5818078,Bengaluru
Maruthi Medical Stores,pharmacy,12.9169861,77.596996,Bengaluru
Sri Manjunatha Medical & General Stores,pharmacy,12.9606852,77.5715513,Bengaluru
MedPlus,pharmacy,12.9625591,77.6430964,Bengaluru
Leela medicals,pharmacy,13.0003234,77.5693738,Bengaluru
Standard Medicals,pharmacy,12.9896302,77.5560208,Bengaluru
Sairam Medicals and General Stores,pharmacy,12.9891599,77.5559116,Bengaluru
Sri Prasamshi Medical Stores,pharmacy,12.9904639,77.5569256,Bengaluru
Reddy's Pharma,pharmacy,12.9079522,77.6062306,Bengaluru
Apollo Pharmacy,pharmacy,12.9090104,77.606404,Bengaluru
Ram Medicals,pharmacy,12.9587021,77.6384108,Bengaluru
Sri Balaji Medicals,pharmacy,12.9582908,77.6382738,Bengaluru
Srinidhi Pet Pharma,pharmacy,13.0272029,77.5859484,Bengaluru
,pharmacy,13.0385823,77.5273889,Bengaluru
Nandi Pharma,pharmacy,12.9525781,77.7002989,Bengaluru
Swathi Medical Store,pharmacy,12.9780448,77.6332441,Bengaluru
Apollo Pharmacy,pharmacy,12.9800601,77.6386765,Bengaluru
Sree Maruthi Medicals,pharmacy,12.9800438,77.6380403,Bengaluru
Apollo Pharmacy,pharmacy,12.8866579,77.605946,Bengaluru
,pharmacy,13.0319123,77.576777,Bengaluru
Padmavathi Medicals,pharmacy,12.9483481,77.6000553,Bengaluru
Sanjana Medicals,pharmacy,12.948665,77.6001706,Bengaluru
Padam Pharma,pharmacy,12.9827789,77.6405257,Bengaluru
Apollo Clinic,pharmacy,12.9654532,77.6417318,Bengaluru
Deepika Pharma and General Stores,pharmacy,12.9567914,77.6987064,Bengaluru
Jeanne Medicals,pharmacy,12.9579892,77.7009753,Bengaluru
Fortis Healthworld,pharmacy,12.9663977,77.6372165,Bengaluru
Nobel Chemist,pharmacy,12.9562023,77.6944986,Bengaluru
Sri Lakshmi Medical Stores,pharmacy,12.9562141,77.6945978,Bengaluru
Sri Raghavendra Medicals,pharmacy,12.9742654,77.534553,Bengaluru
Megha Medicals and General Stores,pharmacy,12.9739047,77.5305291,Bengaluru
Saraswati Medicals,pharmacy,12.9724688,77.5295366,Bengaluru
MedPlus,pharmacy,12.9759953,77.5332486,Bengaluru
Balaji Pharma,pharmacy,12.9674186,77.5997528,Bengaluru
Chetak Pharmacy,pharmacy,12.9678054,77.6002865,Bengaluru
St. Mary's Pharmacy,pharmacy,13.0714139,77.5118738,Bengaluru
Shiva Medicals,pharmacy,13.0016906,77.630597,Bengaluru
The Medicals,pharmacy,13.0020057,77.6321604,Bengaluru
Apollo,pharmacy,12.964602,77.5306989,Bengaluru
Aashuhadi Chemists and Druggists,pharmacy,12.9575611,77.6550565,Bengaluru
MedPlus,pharmacy,13.0814825,77.5881095,Bengaluru
Medreich,pharmacy,13.00281,77.6336462,Bengaluru
,pharmacy,12.9477767,77.7090085,Bengaluru
Chirayu medical shop,pharmacy,12.9510234,77.7066549,Bengaluru
Bangalore Medical,pharmacy,12.9640156,77.5510964,Bengaluru
star hospital ,pharmacy,12.9641843,77.5502624,Bengaluru
3G Medicals,pharmacy,12.979213,77.6413298,Bengaluru
Jay Medicals,pharmacy,13.0014659,77.6306068,Bengaluru
Pavan Pharma,pharmacy,13.0014222,77.6291289,Bengaluru
Chandra Medicals,pharmacy,13.0013994,77.6288185,Bengaluru
Murugeshpalaya Medicals,pharmacy,12.9550419,77.6533125,Bengaluru
Srinivasa Medicals,pharmacy,12.9554817,77.6534635,Bengaluru
Kashif Medical,pharmacy,12.9633542,77.5487215,Bengaluru
Mysore Medical,pharmacy,12.9640984,77.5506116,Bengaluru
Unity Hospital,pharmacy,12.9626651,77.5482596,Bengaluru
,pharmacy,12.9618971,77.552098,Bengaluru
Shifa Medical,pharmacy,12.9642578,77.5489199,Bengaluru
,pharmacy,12.9621356,77.5493894,Bengaluru
Global Medical,pharmacy,12.9634155,77.5520086,Bengaluru
,pharmacy,12.9608525,77.5490077,Bengaluru
Srivaari Drug House,pharmacy,12.9566762,77.6550445,Bengaluru
,pharmacy,12.9653807,77.5941925,Bengaluru
Apollo Pharmacy,pharmacy,12.9919663,77.6802606,Bengaluru
Trust medical store,pharmacy,12.9894846,77.6639748,Bengaluru
Max Pharma,pharmacy,12.9970034,77.6911331,Bengaluru
Apollo Pharmacy,pharmacy,12.8833623,77.5897411,Bengaluru
Apollo Pharmacy,pharmacy,13.0632698,77.5912514,Bengaluru
Care Pharma,pharmacy,13.092746,77.5822152,Bengaluru
Care Medicals,pharmacy,12.9857434,77.6717154,Bengaluru
