Store_name,Category,Latitude,Longitude,City
Ten Ten Nimma Supermarket,supermarket,12.8953157,77.5863222,Bengaluru
,supermarket,12.961125,77.7410111,Bengaluru
Benison,supermarket,12.8836585,77.5959959,Bengaluru
,supermarket,13.0250446,77.5781055,Bengaluru
HyperCITY,supermarket,12.876118,77.5953397,Bengaluru
Relience Fresh,supermarket,12.9381919,77.556125,Bengaluru
Ample Mart,supermarket,12.8759179,77.6167938,Bengaluru
More,supermarket,13.0636896,77.5721105,Bengaluru
The Big Market,supermarket,13.0637683,77.572199,Bengaluru
Easy Day,supermarket,13.0814716,77.559567,Bengaluru
Royal Supermarket,supermarket,12.900724,77.5869656,Bengaluru
Grand Supermarket,supermarket,12.9063471,77.6445546,Bengaluru
Star Bazar,supermarket,13.0114494,77.555384,Bengaluru
Behtar Super Market,supermarket,12.9682121,77.5303413,Bengaluru
Food Triangle,supermarket,12.9308637,77.623075,Bengaluru
E K Retail,supermarket,12.8917971,77.5777119,Bengaluru
G-Mart now VILLAGE,supermarket,12.9228223,77.6730622,Bengaluru
HomeBuzz,supermarket,13.0214757,77.6575717,Bengaluru
Big Bazar,supermarket,12.9302745,77.5878322,Bengaluru
Family Mall,supermarket,12.9583725,77.66084,Bengaluru
Ample Mart Supermarket,supermarket,12.9249951,77.5882111,Bengaluru
Karnataka Supermarket,supermarket,12.9644187,77.6062299,Bengaluru
Village Super Market,supermarket,12.961299,77.5265056,Bengaluru
Akshaya Super Market,supermarket,12.9606854,77.5286993,Bengaluru
Royal Mart Supermarket,supermarket,12.9075154,77.5468074,Bengaluru
Farm Fresh,supermarket,12.9093408,77.5493517,Bengaluru
P K Store,supermarket,12.9964249,77.7649169,Bengaluru
Namdhari's Fresh,supermarket,12.9244128,77.5190496,Bengaluru
Food Mart,supermarket,13.0276893,77.6616598,Bengaluru
DMart,supermarket,12.9288646,77.5913626,Bengaluru
Mark & Spencer,supermarket,12.9386176,77.6288681,Bengaluru
The Big Market,supermarket,12.8971318,77.5858778,Bengaluru
Big Bazaar,supermarket,12.9734434,77.6216713,Bengaluru
Fresh Reach,supermarket,12.9780265,77.6754957,Bengaluru
Kunchum Foods,supermarket,12.9156159,77.5951971,Bengaluru
Krishna Dairy,supermarket,13.063134,77.579815,Bengaluru
Shop & Save,supermarket,12.9072506,77.5600169,Bengaluru
Easy Supermarket,supermarket,12.9559406,77.6535335,Bengaluru
More,supermarket,12.958827,77.6543248,Bengaluru
Nilgiri's,supermarket,12.9728628,77.6074393,Bengaluru
provision store,supermarket,12.9302178,77.5890874,Bengaluru
Top in Town,supermarket,12.9533697,77.6525624,Bengaluru
